module_key,module_index,level,owner_rva,reference_site_rva,reference_site_runtime,target_rva,target_section,reference_kind,value,family_id
LEVEL_01,1,Pokitaru,0x0010DE64,0x0010DF50,0x09247C50,0x002CD010,.data,float32,0.0199999996 / 0x3CA3D70A,WF-010
LEVEL_01,1,Pokitaru,0x0010DE64,0x0010DF60,0x09247C60,0x002CCEB0,.data,float32,0.76666671 / 0x3F444445,WF-010
LEVEL_01,1,Pokitaru,0x0010DE64,0x0010E130,0x09247E30,0x002CCEB8,.data,float32,0.300000012 / 0x3E99999A,WF-010
LEVEL_01,1,Pokitaru,0x0010DE64,0x0010E170,0x09247E70,0x002CCEC0,.data,float32,0.214570001 / 0x3E5BB83D,WF-010
LEVEL_01,1,Pokitaru,0x0010DE64,0x0010E1D8,0x09247ED8,0x002CCEBC,.data,float32,0.5 / 0x3F000000,WF-010
LEVEL_01,1,Pokitaru,0x00122820,0x001228D4,0x0925C5D4,0x002CEDD4,.data,float32,2500 / 0x451C4000,WF-051
LEVEL_01,1,Pokitaru,0x00122820,0x00122918,0x0925C618,0x002CEDD8,.data,float32,2304 / 0x45100000,WF-051
LEVEL_01,1,Pokitaru,0x00122820,0x00122ACC,0x0925C7CC,0x002CED98,.data,float32,0.200000003 / 0x3E4CCCCD,WF-051
LEVEL_01,1,Pokitaru,0x00122820,0x00122B18,0x0925C818,0x002CEDC8,.data,float32,0.0199999996 / 0x3CA3D70A,WF-051
LEVEL_01,1,Pokitaru,0x00122820,0x00122DA4,0x0925CAA4,0x002CEDE0,.data,float32,2116 / 0x45044000,WF-051
LEVEL_01,1,Pokitaru,0x00122820,0x00122DC4,0x0925CAC4,0x002CEDE4,.data,float32,2 / 0x40000000,WF-051
LEVEL_01,1,Pokitaru,0x00122820,0x00122DD0,0x0925CAD0,0x002CEDDC,.data,float32,46 / 0x42380000,WF-051
LEVEL_01,1,Pokitaru,0x00122820,0x00122DF0,0x0925CAF0,0x002CEDA4,.data,float32,0.785398185 / 0x3F490FDB,WF-051
LEVEL_01,1,Pokitaru,0x00143FEC,0x001442EC,0x0927DFEC,0x002D289C,.data,float32,0.100000001 / 0x3DCCCCCD,WF-016
LEVEL_01,1,Pokitaru,0x0014EB68,0x0014EF10,0x09288C10,0x002D42E0,.data,float32,0.0199999996 / 0x3CA3D70A,WF-036
LEVEL_01,1,Pokitaru,0x0014EB68,0x0014EF2C,0x09288C2C,0x002D42DC,.data,float32,0.100000009 / 0x3DCCCCCE,WF-036
LEVEL_01,1,Pokitaru,0x0014EB68,0x0014F38C,0x0928908C,0x002D42D0,.data,float32,2.5 / 0x40200000,WF-036
LEVEL_01,1,Pokitaru,0x0014EB68,0x0014F5D4,0x092892D4,0x002D42F8,.data,float32,0.0500000007 / 0x3D4CCCCD,WF-036
LEVEL_01,1,Pokitaru,0x0014EB68,0x0014FF3C,0x09289C3C,0x002D42FC,.data,float32,0.0666666701 / 0x3D888889,WF-036
LEVEL_01,1,Pokitaru,0x0015083C,0x001508B0,0x0928A5B0,0x002D44F8,.data,float32,0.100000001 / 0x3DCCCCCD,WF-046
LEVEL_01,1,Pokitaru,0x0015083C,0x001508CC,0x0928A5CC,0x002D44F0,.data,float32,0.333333343 / 0x3EAAAAAB,WF-046
LEVEL_01,1,Pokitaru,0x0015083C,0x001508E4,0x0928A5E4,0x002D44F4,.data,float32,6.4000001 / 0x40CCCCCD,WF-046
LEVEL_01,1,Pokitaru,0x0015FB68,0x0015FFB4,0x09299CB4,0x002D5CE4,.data,float32,20 / 0x41A00000,WF-006
LEVEL_01,1,Pokitaru,0x0016B830,0x0016B8E0,0x092A55E0,0x002D7098,.data,float32,0.100000001 / 0x3DCCCCCD,WF-027
LEVEL_01,1,Pokitaru,0x0016B830,0x0016B9E4,0x092A56E4,0x002D70B4,.data,float32,0.5 / 0x3F000000,WF-027
LEVEL_01,1,Pokitaru,0x0016B830,0x0016BA28,0x092A5728,0x002D70B8,.data,float32,0.121869341 / 0x3DF996A2,WF-027
LEVEL_01,1,Pokitaru,0x0016B830,0x0016BAAC,0x092A57AC,0x002CA378,.data,float32,0 / 0x00000000,WF-027
LEVEL_01,1,Pokitaru,0x0016B830,0x0016BC00,0x092A5900,0x002D708C,.data,float32,-0.5 / 0xBF000000,WF-027
LEVEL_01,1,Pokitaru,0x0016B830,0x0016BC18,0x092A5918,0x002D70A4,.data,float32,0.00999999978 / 0x3C23D70A,WF-027
LEVEL_01,1,Pokitaru,0x0016B830,0x0016BC44,0x092A5944,0x002D7088,.data,float32,0.0333333351 / 0x3D088889,WF-027
LEVEL_01,1,Pokitaru,0x0016B830,0x0016BC74,0x092A5974,0x002D70B0,.data,float32,0.0500000007 / 0x3D4CCCCD,WF-027
LEVEL_01,1,Pokitaru,0x0016B830,0x0016BCFC,0x092A59FC,0x002D7090,.data,float32,-1 / 0xBF800000,WF-027
LEVEL_01,1,Pokitaru,0x0016B830,0x0016BD34,0x092A5A34,0x002D7094,.data,float32,-0.0500000045 / 0xBD4CCCCE,WF-027
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017D5A8,0x092B72A8,0x002D88BB,.data,symbolic_name,TMRobotHeadB_Update,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017D5AC,0x092B72AC,0x001C9620,.rodata,source_path,c:/Hig/Projects/Rcp1/Code/MOBYS/TMRobotHeadB/TMRobotHeadB.cpp,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017D5C4,0x092B72C4,0x001C9758,.rodata,message_or_literal,"%s has state TMHEADB_INIT_ENTER, but no enter path given. Destroying moby.",WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017D6A0,0x092B73A0,0x002D88BB,.data,symbolic_name,TMRobotHeadB_Update,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017D6A4,0x092B73A4,0x001C9620,.rodata,source_path,c:/Hig/Projects/Rcp1/Code/MOBYS/TMRobotHeadB/TMRobotHeadB.cpp,WF-030
