prx,system,patch,runtime_address,file_offset,detected_original,expected_original,patched_word,original_match,status,address_derivation
LEVEL_16.PRX,Lacerator,Projectile speed divisor 30->60,0x09255144,0x11B4B8,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
LEVEL_17.PRX,Lacerator,Projectile speed divisor 30->60,0x092530AC,0x119420,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
LEVEL_18.PRX,Lacerator,Projectile speed divisor 30->60,0x092554CC,0x11B840,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
LEVEL_19.PRX,Lacerator,Projectile speed divisor 30->60,0x09255F08,0x11C27C,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
LEVEL_22.PRX,Lacerator,Projectile speed divisor 30->60,0x09230D1C,0xF7090,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
LEVEL_23.PRX,Lacerator,Projectile speed divisor 30->60,0x09254AD8,0x11AE4C,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
LEVEL_24.PRX,Lacerator,Projectile speed divisor 30->60,0x092486FC,0x10EA70,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
LEVEL_01.PRX,RYNO/T.E.L.T.,Helix angular step A1 /2,0x09410880,0x2D6BF4,0x3EC19D7F,0x3EC19D7F,0x3E419D7F,True,candidate; must be tested after speed/age,RynoRocket descriptor relative constant
LEVEL_02_clean.PRX,RYNO/T.E.L.T.,Helix angular step A1 /2,0x0942A720,0x2F0A94,0x3EC19D7F,0x3EC19D7F,0x3E419D7F,True,candidate; must be tested after speed/age,RynoRocket descriptor relative constant
LEVEL_03.PRX,RYNO/T.E.L.T.,Helix angular step A1 /2,0x09427208,0x2ED57C,0x3EC19D7F,0x3EC19D7F,0x3E419D7F,True,candidate; must be tested after speed/age,RynoRocket descriptor relative constant
LEVEL_04.PRX,RYNO/T.E.L.T.,Helix angular step A1 /2,0x09423388,0x2E96FC,0x3EC19D7F,0x3EC19D7F,0x3E419D7F,True,candidate; must be tested after speed/age,RynoRocket descriptor relative constant
LEVEL_05.PRX,RYNO/T.E.L.T.,Helix angular step A1 /2,0x093FCA10,0x2C2D84,0x3EC19D7F,0x3EC19D7F,0x3E419D7F,True,candidate; must be tested after speed/age,RynoRocket descriptor relative constant
LEVEL_06.PRX,RYNO/T.E.L.T.,Helix angular step A1 /2,0x093FF5B8,0x2C592C,0x3EC19D7F,0x3EC19D7F,0x3E419D7F,True,candidate; must be tested after speed/age,RynoRocket descriptor relative constant
