class_name,prx_count,max_priority,classifications,prxs,update_addresses
ShrinkRayRatchet,13,0,NO_STATIC_FLAG:13,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_22.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092AC9FC;0x092CBC44;0x092BF330;0x092B5274;0x092A7830;0x092A45B0;0x092C180C;0x092D931C;0x092A2AA4;0x092B9E24;0x09241BC0;0x0928F6D8;0x0928B74C
Sproutomatic,13,0,NO_STATIC_FLAG:13,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_22.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092AF23C;0x092D01D4;0x092C4B74;0x092B8098;0x092ABE3C;0x092A66A8;0x092C5DD8;0x092DE734;0x092A5664;0x092BC364;0x092463C0;0x0929551C;0x0928CE78
SuckCannon,13,0,NO_STATIC_FLAG:13,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092AFFA8;0x092D3520;0x092C58E0;0x092B8E04;0x092AD55C;0x092A7414;0x092C6B88;0x092DF4E4;0x092A63D0;0x092BD0D0;0x092915C0;0x09296288;0x0928DBE4
SuckCannonCometTie,13,0,NO_STATIC_FLAG:13,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092B0918;0x092D3E90;0x092C6250;0x092B9774;0x092ADECC;0x092A7D84;0x092C74F8;0x092DFE54;0x092A6D40;0x092BDA40;0x09291F84;0x09296BF8;0x0928E554
AgentController,12,0,NO_STATIC_FLAG:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x09242ED0;0x09248840;0x09241790;0x0924A600;0x0923F398;0x0923AB4C;0x0924509C;0x0924F4A4;0x0923CAF4;0x09241064;0x09236B3C;0x09239360
AgentOfDoomShrapnel,12,0,NO_STATIC_FLAG:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x09248104;0x0924DA74;0x09246A8C;0x0924F834;0x092445CC;0x0923FE48;0x0924A398;0x092547A0;0x09241DF0;0x09246360;0x0923BD70;0x0923E65C
AgentsBomb,12,0,NO_STATIC_FLAG:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x09248414;0x0924DD84;0x09246D9C;0x0924FB44;0x092448DC;0x09240158;0x0924A6A8;0x09254AB0;0x09242100;0x09246670;0x0923C080;0x0923E96C
RatchetDecoyOuter,12,0,NO_STATIC_FLAG:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x0929EE84;0x092BA0D8;0x092B2B58;0x092A77A0;0x0929D514;0x092977A0;0x092B01D0;0x092CB464;0x09296E98;0x092ABB1C;0x092833DC;0x0927F4C0
ShieldChargerBolt,12,0,NO_STATIC_FLAG:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092A8F28;0x092C7D7C;0x092BB72C;0x092B13AC;0x092A3D94;0x092A0B14;0x092BAE88;0x092D5454;0x0929C86C;0x092B5DDC;0x0928BC3C;0x09287CB0
ClankPack,10,0,NO_STATIC_FLAG:10,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x0925D0D4;0x09274888;0x0925BBA8;0x09265FC8;0x09254B1C;0x0925F3F0;0x0926CDBC;0x0925B750;0x0925AC94;0x092529BC
GenericTieForm,10,0,NO_STATIC_FLAG:10,LEVEL_02_clean.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_18.PRX;LEVEL_24.PRX,0x09290144;0x092836B8;0x09270420;0x092694E0;0x092825BC;0x0928F984;0x0926C994;0x09274F4C;0x09271B60;0x0925F998
Helipack,10,0,NO_STATIC_FLAG:10,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x0927D550;0x09291F3C;0x0927EDF0;0x09285AA4;0x09272A20;0x0928892C;0x0929B98C;0x0927EA98;0x0926C86C;0x092655C8
RatchetShip,8,0,NO_STATIC_FLAG:8,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x0929F0F4;0x092BA348;0x092B2DC8;0x092A7A10;0x092B0440;0x092CB6D4;0x0928364C;0x0927F730
ClankBotShrapnel,4,0,NO_STATIC_FLAG:4,LEVEL_02_clean.PRX;LEVEL_04.PRX;LEVEL_08.PRX;LEVEL_24.PRX,0x09274530;0x09264E6C;0x0926BC60;0x092523DC
CrownDM,4,0,NO_STATIC_FLAG:4,LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x09263850;0x09261744;0x092625C4;0x09262E04
HeadShrapnel,4,0,NO_STATIC_FLAG:4,LEVEL_01.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_06.PRX,0x0927CF48;0x0927E7E8;0x0928549C;0x0926F12C
MPCrateController,4,0,NO_STATIC_FLAG:4,LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x09277848;0x09276950;0x09282744;0x09279A78
ObjectiveBeam,4,0,NO_STATIC_FLAG:4,LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x0927E910;0x0927AC24;0x09286A18;0x0927DD4C
PlayerTurretChunk,4,0,NO_STATIC_FLAG:4,LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x09281BF8;0x0927DF0C;0x09289D00;0x09281034
RobotShrapnel,4,0,NO_STATIC_FLAG:4,LEVEL_06.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_18.PRX,0x0929792C;0x092AC028;0x0928F7E8;0x09295774
ShrapnelGeneric,4,0,NO_STATIC_FLAG:4,LEVEL_01.PRX;LEVEL_03.PRX;LEVEL_07.PRX;LEVEL_18.PRX,0x092AB648;0x092BDE4C;0x092C0328;0x092998EC
WeaponManagerMP,4,0,NO_STATIC_FLAG:4,LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x092999F4;0x0928E0C8;0x0929CB9C;0x092953A8
WeaponPack,4,0,NO_STATIC_FLAG:4,LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x0929AEF4;0x0928F5C8;0x0929E124;0x092969E8
BotFlingerArm,3,0,NO_STATIC_FLAG:3,LEVEL_02_clean.PRX;LEVEL_04.PRX;LEVEL_08.PRX,0x09264280;0x09262B90;0x092688DC
ModVendor,3,0,NO_STATIC_FLAG:3,LEVEL_03.PRX;LEVEL_07.PRX;LEVEL_10.PRX,0x0929A6B8;0x092A34C4;0x09292390
TorsoShrapnel,3,0,NO_STATIC_FLAG:3,LEVEL_01.PRX;LEVEL_03.PRX;LEVEL_04.PRX,0x092BD0B8;0x092D2FA8;0x092CBA94
DerbyTeleporterHealth,2,0,NO_STATIC_FLAG:2,LEVEL_04.PRX;LEVEL_08.PRX,0x0926F344;0x0927A038
DerbyTeleporterPowerup,2,0,NO_STATIC_FLAG:2,LEVEL_04.PRX;LEVEL_08.PRX,0x0926F88C;0x0927A580
EnemyHead,2,0,NO_STATIC_FLAG:2,LEVEL_04.PRX;LEVEL_08.PRX,0x0927957C;0x092845A8
LevelMP01Forcefield,2,0,NO_STATIC_FLAG:2,LEVEL_16.PRX;LEVEL_17.PRX,0x09274828;0x092729D8
LightningAttack,2,0,NO_STATIC_FLAG:2,LEVEL_04.PRX;LEVEL_08.PRX,0x09293348;0x092A8808
ObstacleBouncer,2,0,NO_STATIC_FLAG:2,LEVEL_04.PRX;LEVEL_08.PRX,0x0929F3F0;0x092C1AD8
ObstacleSpinningFloor,2,0,NO_STATIC_FLAG:2,LEVEL_04.PRX;LEVEL_08.PRX,0x0929FD10;0x092C2FAC
ObstacleWall,2,0,NO_STATIC_FLAG:2,LEVEL_04.PRX;LEVEL_08.PRX,0x092A0BB4;0x092C4614
VehicleMine,2,0,NO_STATIC_FLAG:2,LEVEL_04.PRX;LEVEL_08.PRX,0x092D0358;0x092F1E08
BlasterCloneShot,1,0,NO_STATIC_FLAG:1,LEVEL_10.PRX,0x0924F60C
BuryBlossomShot,1,0,NO_STATIC_FLAG:1,LEVEL_02_clean.PRX,0x09267B90
CrabShrapnel,1,0,NO_STATIC_FLAG:1,LEVEL_01.PRX,0x09261EC8
Drone01Light,1,0,NO_STATIC_FLAG:1,LEVEL_03.PRX,0x092664BC
Level02WallChunk,1,0,NO_STATIC_FLAG:1,LEVEL_02_clean.PRX,0x092A2CE4
Level04SecretDoor,1,0,NO_STATIC_FLAG:1,LEVEL_04.PRX,0x09292248
LunaCorpse,1,0,NO_STATIC_FLAG:1,LEVEL_08.PRX,0x092AF3C4
LunaLever,1,0,NO_STATIC_FLAG:1,LEVEL_08.PRX,0x092AF7B0
Lvl07Leaf,1,0,NO_STATIC_FLAG:1,LEVEL_07.PRX,0x09299900
Lvl3PlatformShrapnel,1,0,NO_STATIC_FLAG:1,LEVEL_03.PRX,0x092952C0
Lvl3StaticPlatform,1,0,NO_STATIC_FLAG:1,LEVEL_03.PRX,0x09297DD8
MiniTurretManager,1,0,NO_STATIC_FLAG:1,LEVEL_24.PRX,0x09274D24
ObstacleFlameJets,1,0,NO_STATIC_FLAG:1,LEVEL_08.PRX,0x092C1E1C
OttoRocket,1,0,NO_STATIC_FLAG:1,LEVEL_10.PRX,0x0929E29C
OttoRocketPack,1,0,NO_STATIC_FLAG:1,LEVEL_10.PRX,0x0929F528
PowerCell,1,0,NO_STATIC_FLAG:1,LEVEL_16.PRX,0x09284894
PsychicHands,1,0,NO_STATIC_FLAG:1,LEVEL_10.PRX,0x092A60D0
SpawnBuildingShrapnel,1,0,NO_STATIC_FLAG:1,LEVEL_17.PRX,0x0928AF24
StoneIdolShrapnel,1,0,NO_STATIC_FLAG:1,LEVEL_02_clean.PRX,0x092D2AB8
ThresherB,1,0,NO_STATIC_FLAG:1,LEVEL_08.PRX,0x092EA1EC
TrainingBotShrapnel,1,0,NO_STATIC_FLAG:1,LEVEL_01.PRX,0x092C040C
WrenchClone,1,0,NO_STATIC_FLAG:1,LEVEL_10.PRX,0x092C9548
