class_name,prx_count,max_priority,classifications,prxs,update_addresses
Bombglove,16,90,FRAME_MOVEMENT_SUSPECT:16,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x0925B4F4;0x092613A0;0x0925B114;0x09262548;0x0925704C;0x09252840;0x0925DA90;0x09268294;0x092547E8;0x0925948C;0x0925B9B8;0x092598AC;0x0925BCD0;0x0925B660;0x0925A200;0x09251988
Mootator,16,90,DELTA_AWARE:4;FRAME_MOVEMENT_SUSPECT:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x09294064;0x092A8CCC;0x0929BEC4;0x0929BF58;0x09290C54;0x0928D204;0x092A4CD0;0x092BE640;0x09289334;0x09293B9C;0x09279C54;0x092781E8;0x092771B8;0x092762C0;0x092820B4;0x092720FC
ShockRocketShot,16,90,FRAME_MOVEMENT_SUSPECT:16,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092AA820;0x092C9674;0x092BD024;0x092B2CA4;0x092A568C;0x092A240C;0x092BC780;0x092D6D4C;0x0929E164;0x092B76D4;0x09293C38;0x092892C4;0x09298A90;0x0928E310;0x0928D534;0x092895A8
SuckCannonComet,13,90,FRAME_MOVEMENT_SUSPECT:13,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092D4AF4;0x092EA5D8;0x092E7354;0x092E790C;0x092C4124;0x092C510C;0x092E1DD8;0x0930F210;0x092BFF94;0x092DB94C;0x092A630C;0x092A8D98;0x092A7ED8
AgentsGrenade,12,90,FRAME_MOVEMENT_SUSPECT:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x0924A4CC;0x0924FE3C;0x09248E54;0x09251BFC;0x09246994;0x09242210;0x0924C760;0x09256B68;0x092441B8;0x09248728;0x0923E138;0x09240A24
NapalmBubble,12,90,FRAME_MOVEMENT_SUSPECT:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092969E0;0x092AC6D4;0x092AA6FC;0x0929E8D4;0x092935D0;0x0928FCEC;0x092A764C;0x092C0FBC;0x0928D978;0x09296978;0x0927C5D0;0x0927AB64
ShrinkBeam,12,90,FRAME_MOVEMENT_SUSPECT:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092ABD2C;0x092CAF74;0x092BE660;0x092B45A4;0x092A6B60;0x092A38E0;0x092C0B3C;0x092D864C;0x092A1DD4;0x092B90A8;0x0928EA08;0x0928AA7C
MicrobotTossGoal,2,90,FRAME_MOVEMENT_SUSPECT:2,LEVEL_04.PRX;LEVEL_08.PRX,0x09298040;0x092B6524
DSC_Laser,1,90,FRAME_MOVEMENT_SUSPECT:1,LEVEL_07.PRX,0x0926DDAC
Geyser,1,90,FRAME_MOVEMENT_SUSPECT:1,LEVEL_18.PRX,0x09271FE4
PODBomb,1,90,FRAME_MOVEMENT_SUSPECT:1,LEVEL_03.PRX,0x092AB56C
SurvivalBot,3,70,FRAME_TIMER_SUSPECT:3,LEVEL_04.PRX;LEVEL_08.PRX;LEVEL_24.PRX,0x092BC7A0;0x092E2E80;0x09291580
MiniTurret,1,70,FRAME_TIMER_SUSPECT:1,LEVEL_24.PRX,0x092736B0
ElectroBall,16,65,FRAME_TIMER_SUSPECT:16,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x0926C8EC;0x0927F334;0x092698B0;0x0927279C;0x0926164C;0x0925E188;0x09270B5C;0x0927D490;0x0925F6A8;0x09264F34;0x09267824;0x09265718;0x092671E4;0x09266FA4;0x0926114C;0x09258F2C
Flamethrower,16,65,FRAME_TIMER_SUSPECT:16,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092755F0;0x0928918C;0x09273640;0x0927EE54;0x0926AF48;0x0926652C;0x0927E428;0x0928D408;0x0926A418;0x09272FC8;0x09270344;0x0926AE60;0x0926F5E0;0x0926C6EC;0x09265C34;0x0925DA14
TripleWaveBeacon,12,65,FRAME_TIMER_SUSPECT:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092C1F14;0x092D8C84;0x092D3C9C;0x092CC788;0x092B239C;0x092B1920;0x092CD7CC;0x092EE238;0x092AC204;0x092C4E70;0x0929AFC8;0x09298C6C
MiniTurretGlove,1,65,FRAME_TIMER_SUSPECT:1,LEVEL_24.PRX,0x092744AC
PsychicBomb,1,65,FRAME_TIMER_SUSPECT:1,LEVEL_10.PRX,0x092A4674
MegaCannonShot,1,64,FRAME_TIMER_SUSPECT:1,LEVEL_18.PRX,0x0927EED4
Blaster,17,60,FRAME_TIMER_SUSPECT:17,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_22.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x09250700;0x09256594;0x09250320;0x09258134;0x0924CC50;0x09248444;0x09252C84;0x0925DE4C;0x0924A3EC;0x0924DDE4;0x09253EA4;0x09251E0C;0x0925422C;0x09254C68;0x0922FBAC;0x09253968;0x0924758C
Wrench,17,60,FRAME_TIMER_SUSPECT:13;NO_STATIC_FLAG:4,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_22.PRX;LEVEL_23.PRX;LEVEL_24.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x092C38E8;0x092D9A04;0x092D49FC;0x092D1CE0;0x092B3464;0x092B309C;0x092CE54C;0x092F3790;0x092ACF64;0x092C66BC;0x0924797C;0x0929B884;0x09299528;0x0929C7E0;0x09290EB4;0x0929FA10;0x092982D4
BlitzGunShot,16,60,FRAME_TIMER_SUSPECT:16,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x09255EE8;0x0925BD7C;0x09255B08;0x0925D91C;0x09252438;0x0924DC2C;0x0925846C;0x09263634;0x0924FBD4;0x09254814;0x09259734;0x0925769C;0x09259ABC;0x0925A4F8;0x09259150;0x0924CD74
Spitfire,16,60,FRAME_TIMER_SUSPECT:16,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092AD7A0;0x092CC1EC;0x092C30D8;0x092B65FC;0x092A801C;0x092A4C0C;0x092C1DF0;0x092DA74C;0x092A3BC8;0x092BA8C8;0x09295EBC;0x0928B544;0x09299D64;0x0928F47C;0x092940A8;0x0928BA04
LaserTracer,12,60,FRAME_TIMER_SUSPECT:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092829EC;0x09297380;0x092846B4;0x0928A52C;0x092763D0;0x09277C90;0x0928E558;0x092A0714;0x09277F10;0x09284594;0x09270B28;0x09269ED8
BoltCrankBolt,4,60,FRAME_TIMER_SUSPECT:4,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_07.PRX,0x0925A780;0x0926062C;0x0925A3A0;0x0925CD1C
PowerupMod,4,60,FRAME_TIMER_SUSPECT:4,LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x0928B558;0x09283AC0;0x092915F0;0x09288C18
PowerupUpgrade,4,60,FRAME_TIMER_SUSPECT:4,LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x0928D1B4;0x0928571C;0x0929324C;0x0928A874
ShieldBubble,3,60,FRAME_TIMER_SUSPECT:3,LEVEL_04.PRX;LEVEL_08.PRX;LEVEL_10.PRX,0x092ACBFC;0x092D0CA4;0x092B0F5C
DerbyPowerup,2,60,FRAME_TIMER_SUSPECT:2,LEVEL_04.PRX;LEVEL_08.PRX,0x0926CD9C;0x09277A90
DerbyPowerupHealth,2,60,FRAME_TIMER_SUSPECT:2,LEVEL_04.PRX;LEVEL_08.PRX,0x0926DC70;0x09278964
Microbot,2,60,FRAME_TIMER_SUSPECT:2,LEVEL_04.PRX;LEVEL_08.PRX,0x092942E4;0x092B27C8
MicrobotTossTeleporter,2,60,FRAME_TIMER_SUSPECT:2,LEVEL_04.PRX;LEVEL_08.PRX,0x092989A8;0x092B6E8C
VehicleMissile,2,60,FRAME_TIMER_SUSPECT:2,LEVEL_04.PRX;LEVEL_08.PRX,0x092D0BA0;0x092F2650
LunaRock,1,60,FRAME_TIMER_SUSPECT:1,LEVEL_08.PRX,0x092B0144
MiniTurretRocket,1,60,FRAME_TIMER_SUSPECT:1,LEVEL_24.PRX,0x09274F14
ObstacleSaw,1,60,FRAME_TIMER_SUSPECT:1,LEVEL_04.PRX,0x0929F724
ElectroshockWave,13,38,FIXED_DT_REVIEW:13,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_22.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x0926E010;0x09280A58;0x0926AFD4;0x09273EC0;0x09262D70;0x0925F8AC;0x09272280;0x0927EBB4;0x09260DCC;0x09266658;0x09234DD8;0x09262870;0x0925A650
AgentsRocket,12,38,FIXED_DT_REVIEW:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x0924B954;0x092512C4;0x0924A2DC;0x09253084;0x09247E1C;0x09243698;0x0924DBE8;0x09257FF0;0x09245640;0x09249BB0;0x0923F5C0;0x09241EAC
HeavyTorsoShrapnel,2,38,FIXED_DT_REVIEW:2,LEVEL_06.PRX;LEVEL_08.PRX,0x092723D8;0x0929B344
Lvl05Berry,1,38,FIXED_DT_REVIEW:1,LEVEL_05.PRX,0x0927D054
QuarkChainsaw,1,38,FIXED_DT_REVIEW:1,LEVEL_05.PRX,0x0929908C
SwarmManager,16,21,LOW_CONFIDENCE_COUNTER:16,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092B271C;0x092D5C94;0x092C8054;0x092C1268;0x092AFCD0;0x092A9B88;0x092C92FC;0x092E7948;0x092A8B44;0x092BF844;0x0929819C;0x0928D824;0x0929C2F8;0x09294120;0x092989FC;0x09296048
Ryno,12,21,LOW_CONFIDENCE_COUNTER:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092A2928;0x092C2C4C;0x092B65FC;0x092AB244;0x0929DDB8;0x0929868C;0x092B5D58;0x092CEF08;0x0929773C;0x092ACD88;0x09286D74;0x09282F64
RynoRocket,12,21,LOW_CONFIDENCE_COUNTER:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092A3398;0x092C36BC;0x092B706C;0x092ABCB4;0x0929E828;0x092990FC;0x092B67C8;0x092CF978;0x092981AC;0x092AD7F8;0x092877E4;0x092839D4
GiantClankRocket,1,21,LOW_CONFIDENCE_COUNTER:1,LEVEL_10.PRX,0x09278B44
IntMachine,1,21,LOW_CONFIDENCE_COUNTER:1,LEVEL_10.PRX,0x092803F4
Level10CrateDoor,1,21,LOW_CONFIDENCE_COUNTER:1,LEVEL_10.PRX,0x0928AFEC
LunaRockShrapnel,1,21,LOW_CONFIDENCE_COUNTER:1,LEVEL_08.PRX,0x092B09E4
ObstacleThresher,1,21,LOW_CONFIDENCE_COUNTER:1,LEVEL_08.PRX,0x092C32B4
ShockWave,1,21,LOW_CONFIDENCE_COUNTER:1,LEVEL_10.PRX,0x092B8590
TreehouseTurretPickup,1,21,LOW_CONFIDENCE_COUNTER:1,LEVEL_24.PRX,0x09298414
Hypershot,17,5,DELTA_AWARE:17,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_22.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x0927E654;0x09292858;0x09280548;0x092863C0;0x09272264;0x09273B24;0x09289A30;0x0929BC54;0x09273B78;0x092801F0;0x09272FCC;0x09271C00;0x0927429C;0x0926F728;0x09239FB4;0x0926CB34;0x09265EE4
Acidbomb,16,5,DELTA_AWARE:16,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x09241234;0x09246BA4;0x0923FAF4;0x09248964;0x0923D6FC;0x09238EB0;0x09243400;0x0924D808;0x0923AE58;0x0923F3C8;0x0924E9CC;0x0924C934;0x0924EAF8;0x0924F790;0x09234EA0;0x092376C4
BeeMineGlove,16,5,DELTA_AWARE:16,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x0924F690;0x09255524;0x0924F2B0;0x092570C4;0x0924BBE0;0x092473D4;0x09251C14;0x0925CDDC;0x0924937C;0x0924CD74;0x09252B30;0x09250A98;0x09252EB8;0x092538F4;0x092528F8;0x09245EEC
AgentsLaser,12,5,DELTA_AWARE:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x0924AE04;0x09250774;0x0924978C;0x09252534;0x092472CC;0x09242B48;0x0924D098;0x092574A0;0x09244AF0;0x09249060;0x0923EA70;0x0924135C
PlayerTurretShot,4,5,DELTA_AWARE:4,LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x09282F64;0x0927F278;0x0928B06C;0x092823A0
PowerupWeapon,4,5,DELTA_AWARE:4,LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x0928EE68;0x092873D0;0x09294F00;0x0928C528
HomingBeacon,1,5,DELTA_AWARE:1,LEVEL_17.PRX,0x0926D3FC
