module,label,rva,vanilla_word,vanilla_float,v063_word,v063_float,metalis_reference_word,metalis_reference_float,same_as_metalis,vanilla_verified,validation
LEVEL_07,pickup steering below cap,0x002E7214,0x3DA3D70A,0.07999999821186066,0x3D23D70A,0.03999999910593033,0x3D27413B,0.040833692997694016,False,True,static_only_not_gameplay
LEVEL_07,pickup steering at cap,0x002E7218,0x3E4CCCCD,0.20000000298023224,0x3D4CCCCD,0.05000000074505806,0x3DD8368F,0.10557281225919724,False,True,static_only_not_gameplay
LEVEL_08,pickup initial speed,0x00310604,0x3DCCCCCE,0.10000000894069672,0x3D4CCCCE,0.05000000447034836,0x3D4CCCCE,0.05000000447034836,True,True,static_only_not_gameplay
LEVEL_08,pickup acceleration,0x00310614,0x3D75C290,0.06000000238418579,0x3C75C290,0.015000000596046448,0x3C75C290,0.015000000596046448,True,True,static_only_not_gameplay
LEVEL_08,pickup max speed,0x00310618,0x3EAAAAAB,0.3333333432674408,0x3DAAAAAB,0.0833333358168602,0x3E2AAAAB,0.1666666716337204,False,True,static_only_not_gameplay
LEVEL_08,pickup steering below cap,0x0031061C,0x3DA3D70A,0.07999999821186066,0x3D23D70A,0.03999999910593033,0x3D27413B,0.040833692997694016,False,True,static_only_not_gameplay
LEVEL_08,pickup steering at cap,0x00310620,0x3E4CCCCD,0.20000000298023224,0x3D4CCCCD,0.05000000074505806,0x3DD8368F,0.10557281225919724,False,True,static_only_not_gameplay
LEVEL_09,pickup initial speed,0x002BFA28,0x3DCCCCCE,0.10000000894069672,0x3D4CCCCE,0.05000000447034836,0x3D4CCCCE,0.05000000447034836,True,True,static_only_not_gameplay
LEVEL_09,pickup acceleration,0x002BFA3C,0x3D75C290,0.06000000238418579,0x3C75C290,0.015000000596046448,0x3C75C290,0.015000000596046448,True,True,static_only_not_gameplay
LEVEL_09,pickup max speed,0x002BFA40,0x3EAAAAAB,0.3333333432674408,0x3DAAAAAB,0.0833333358168602,0x3E2AAAAB,0.1666666716337204,False,True,static_only_not_gameplay
LEVEL_09,pickup steering below cap,0x002BFA44,0x3DA3D70A,0.07999999821186066,0x3D23D70A,0.03999999910593033,0x3D27413B,0.040833692997694016,False,True,static_only_not_gameplay
LEVEL_09,pickup steering at cap,0x002BFA48,0x3E4CCCCD,0.20000000298023224,0x3D4CCCCD,0.05000000074505806,0x3DD8368F,0.10557281225919724,False,True,static_only_not_gameplay
LEVEL_10,pickup initial speed,0x002DD818,0x3DCCCCCE,0.10000000894069672,0x3D4CCCCE,0.05000000447034836,0x3D4CCCCE,0.05000000447034836,True,True,static_only_not_gameplay
LEVEL_10,pickup acceleration,0x002DD82C,0x3D75C290,0.06000000238418579,0x3C75C290,0.015000000596046448,0x3C75C290,0.015000000596046448,True,True,static_only_not_gameplay
LEVEL_10,pickup max speed,0x002DD830,0x3EAAAAAB,0.3333333432674408,0x3DAAAAAB,0.0833333358168602,0x3E2AAAAB,0.1666666716337204,False,True,static_only_not_gameplay
LEVEL_10,pickup steering below cap,0x002DD834,0x3DA3D70A,0.07999999821186066,0x3D23D70A,0.03999999910593033,0x3D27413B,0.040833692997694016,False,True,static_only_not_gameplay
LEVEL_10,pickup steering at cap,0x002DD838,0x3E4CCCCD,0.20000000298023224,0x3D4CCCCD,0.05000000074505806,0x3DD8368F,0.10557281225919724,False,True,static_only_not_gameplay
