"module_index","module_key","offset_hex","offset_dec","original_hex","patched_hex","flags","flags_noms","layer","layer_nom","ecrit_statiquement"
"1","LEVEL_01","0x13BC00","1293312","0x3C06BF80","0x3C06BF00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x13BD58","1293656","0x34040003","0x34040006","16","CODE","2","armes","oui"
"1","LEVEL_01","0x148E04","1347076","0x46146301","0x00000004","20","CODE+CAVE_JUMP","2","armes","oui"
"1","LEVEL_01","0x148E08","1347080","0xE62C0008","0x00000000","16","CODE","2","armes","oui"
"1","LEVEL_01","0x168CF8","1477880","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x1696A0","1480352","0x3C053F80","0x3C053F00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x16CC5C","1494108","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x16D014","1495060","0x3C043D08","0x3C043C88","16","CODE","2","armes","oui"
"1","LEVEL_01","0x16D05C","1495132","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x16FA6C","1505900","0x46148B01","0x00000002","20","CODE+CAVE_JUMP","2","armes","oui"
