module_key,module_index,level,descriptor_rva,descriptor_runtime,object_name,callback_count,callback_rvas,callback_runtime_addresses,pvar_schema
LEVEL_01,1,Pokitaru,0x002D7D48,0x09411A48,SuckCannonComet,3,0x0019ABB8; 0x0019ABC0; 0x0019ADF4,0x092D48B8; 0x092D48C0; 0x092D4AF4,
LEVEL_01,1,Pokitaru,0x002D7DB0,0x09411AB0,SuckCannonCometTie,3,0x0019ABB8; 0x0019ABC0; 0x00176C18,0x092D48B8; 0x092D48C0; 0x092B0918,
LEVEL_01,1,Pokitaru,0x002D7E8C,0x09411B8C,SuckCannonManager,3,0x001778F8; 0x00177944; 0x0017794C,0x092B15F8; 0x092B1644; 0x092B164C,
LEVEL_01,1,Pokitaru,0x002D7F1C,0x09411C1C,SwarmManager,3,0x0017869C; 0x001786E4; 0x00178A1C,0x092B239C; 0x092B23E4; 0x092B271C,
LEVEL_01,1,Pokitaru,0x002D8030,0x09411D30,Teleporter,3,0x0017923C; 0x001795F4; 0x001799C0,0x092B2F3C; 0x092B32F4; 0x092B36C0,MobyLink destination; MobyLink destinationPreferred; TriggerLink activateTrigger; u32 levelId; s32 changeToLevel; Toggle secretActivation; s8 canGoToLevel; u8 pad[ 10 ];
LEVEL_01,1,Pokitaru,0x002D8464,0x09412164,TieManipulator,3,0x0017A30C; 0x0017A304; 0x0017A8E4,0x092B400C; 0x092B4004; 0x092B45E4,TieLink tie[ 8 ]; f32 xAxis; f32 yAxis; f32 zAxis; f32 xRot; f32 yRot; f32 zRot; f32 xSpan; f32 ySpan; f32 zSpan; f32 xCounter; f32 yCounter; f32 zCounter; f32 speed; f32 speedPerFrame; f32 curviness; f32 curvPar; f32 scaleSpeed; f32 scaleSpeedPerFrame; f32 scaleMax; f32 scaleCounter; f32 xPerc[8]; f32 yPerc[8]; f32 zPerc[8]; f32 xPar[8]; f32 yPar[8]; f32 zPar[8]; f32 xStart[8]; f32 yStart[8]; f32 zStart[8]; MATRIX4 *pMat[8]; MATRIX4 scaleMatrix; f32 drawDistance; f32 updateDistance; f32 inverseScale; u32 linkCount;
LEVEL_01,1,Pokitaru,0x002D85A4,0x094122A4,TitaniumBolt,3,0x0017AC74; 0x0017AE64; 0x0017AFCC,0x092B4974; 0x092B4B64; 0x092B4CCC,f32 dist; f32 height; f32 lookHeight; f32 elevation; f32 azimuth; Toggle magnaboots; Toggle noAnimation; u32 levelToFake; u8 id; u8 pad[5];
LEVEL_01,1,Pokitaru,0x002D882C,0x0941252C,TMRobotHeadB,4,0x0017B9F0; 0x0017BE18; 0x0017D49C; 0x0017BB1C,0x092B56F0; 0x092B5B18; 0x092B719C; 0x092B581C,Navigate nav; MobyLink controller; TriggerLink enterTrigger; TriggerLink detectArea; CurveLink enterPath; MobyLink enemyWave; f32 alertRadius; MobyLink targetTorso; Toggle shouldReturn; u8 pad[7];
LEVEL_01,1,Pokitaru,0x002D8B90,0x09412890,TMRobotTorsoB,4,0x001803D4; 0x0017ECCC; 0x00180970; 0x0017E974,0x092BA0D4; 0x092B89CC; 0x092BA670; 0x092B8674,MobyLink controller; Navigate nav; MobyLink dropship; TriggerLink enterTrigger; TriggerLink detectArea; TriggerLink alertTrigger; CurveLink enterPath; f32 alertRadius; MobyLink crabToShoot; MobyLink enemyWave; CurveLink firePoints; TriggerLink noCreateTrigger; Toggle sitting; u8 headSpawnPcnt; Toggle walkOnWater; Toggle initNoDraw; u8 shotsFired; u8 pad[ 2 ];
LEVEL_01,1,Pokitaru,0x002D8C64,0x09412964,TMRobotTorsoCutscene,3,0x0018255C; 0x00182670; 0x00182678,0x092BC25C; 0x092BC370; 0x092BC378,CurveLink curve; MobyLink enemyWave; u32 pad[ 2 ];
LEVEL_01,1,Pokitaru,0x002D8D44,0x09412A44,TorsoAShot,3,0x00182E94; 0x001826CC; 0x001827C4,0x092BCB94; 0x092BC3CC; 0x092BC4C4,Particle *pGlow1; Moby *pParent; Moby *pController; f32 worldCollDist; f32 distTraveled; f32 speed;
LEVEL_01,1,Pokitaru,0x002D8EC4,0x09412BC4,TorsoShrapnel,3,0x001833A8; 0x001833B0; 0x001833B8,0x092BD0A8; 0x092BD0B0; 0x092BD0B8,
LEVEL_01,1,Pokitaru,0x002D91E0,0x09412EE0,TrainingBot,4,0x00183A50; 0x00183E5C; 0x00185B34; 0x00183F30,0x092BD750; 0x092BDB5C; 0x092BF834; 0x092BDC30,Navigate navigateBehavior; TriggerLink detectArea; MobyLink enemyController; MobyLink enemyWave; CurveLink initPath; TriggerLink wanderArea;
LEVEL_01,1,Pokitaru,0x002D9370,0x09413070,TrainingBotShrapnel,3,0x001866F0; 0x00186704; 0x0018670C,0x092C03F0; 0x092C0404; 0x092C040C,
LEVEL_01,1,Pokitaru,0x002D93EC,0x094130EC,TriggerCollection,3,0x00186E04; 0x00186E0C; 0x00186E14,0x092C0B04; 0x092C0B0C; 0x092C0B14,TriggerLink triggers[ 14 ];
LEVEL_01,1,Pokitaru,0x002D94C4,0x094131C4,TriggeredDoor,3,0x00186F80; 0x00187294; 0x00187614,0x092C0C80; 0x092C0F94; 0x092C1314,TriggerLink trigger; MobyLink mobyToCheck; MobyLink grindrailLock; Toggle stayOpen; Toggle saveState; u8 pad[ 2 ];
LEVEL_01,1,Pokitaru,0x002D95E8,0x094132E8,TripleWaveBeacon,3,0x00188030; 0x001881E0; 0x00188214,0x092C1D30; 0x092C1EE0; 0x092C1F14,
LEVEL_01,1,Pokitaru,0x002D9694,0x09413394,vendor,3,0x001884BC; 0x00188684; 0x001886E8,0x092C21BC; 0x092C2384; 0x092C23E8,u32 lastAnimPlayed; u32 vendorType; Toggle bSellsWeapons; u8 pad[ 7 ];
LEVEL_01,1,Pokitaru,0x002D9720,0x09413420,WaterWaves,3,0x00188960; 0x00188AA4; 0x00188AAC,0x092C2660; 0x092C27A4; 0x092C27AC,
LEVEL_01,1,Pokitaru,0x002D9930,0x09413630,Wrench,3,0x001896D8; 0x001897AC; 0x00189BE8,0x092C33D8; 0x092C34AC; 0x092C38E8,
LEVEL_01,1,Pokitaru,0x002D9A58,0x09413758,ZipLineController,3,0x0018CA14; 0x0018CC84; 0x0018CCB8,0x092C6714; 0x092C6984; 0x092C69B8,VEC4 lineVec; VEC4 dir; CurveLink path; f32 dist; f32 azimuth; f32 camDist; f32 camHeight; f32 camOfsY;
LEVEL_02,2,Ryllus,0x002E41D8,0x0941DED8,Acidbomb,3,0x0010C52C; 0x0010C53C; 0x0010CEA4,0x0924622C; 0x0924623C; 0x09246BA4,
LEVEL_02,2,Ryllus,0x002E4260,0x0941DF60,AcidbombEpoxy,3,0x0010E2E8; 0x0010E2F0; 0x0010E378,0x09247FE8; 0x09247FF0; 0x09248078,
LEVEL_02,2,Ryllus,0x002E42C0,0x0941DFC0,AcidGloveHUD,3,0x0010E880; 0x0010E888; 0x0010E890,0x09248580; 0x09248588; 0x09248590,
LEVEL_02,2,Ryllus,0x002E4320,0x0941E020,AgentController,3,0x0010E898; 0x0010E988; 0x0010EB40,0x09248598; 0x09248688; 0x09248840,
LEVEL_02,2,Ryllus,0x002E4674,0x0941E374,AgentOfDoom,4,0x0010F190; 0x0010F26C; 0x0010F32C; 0x0010F64C,0x09248E90; 0x09248F6C; 0x0924902C; 0x0924934C,
LEVEL_02,2,Ryllus,0x002E4754,0x0941E454,AgentOfDoomShrapnel,3,0x00113D64; 0x00113D6C; 0x00113D74,0x0924DA64; 0x0924DA6C; 0x0924DA74,
LEVEL_02,2,Ryllus,0x002E4890,0x0941E590,AgentsBomb,3,0x00114074; 0x0011407C; 0x00114084,0x0924DD74; 0x0924DD7C; 0x0924DD84,
LEVEL_02,2,Ryllus,0x002E4928,0x0941E628,AgentsGlove,3,0x00115610; 0x0011569C; 0x001156C8,0x0924F310; 0x0924F39C; 0x0924F3C8,
LEVEL_02,2,Ryllus,0x002E49D4,0x0941E6D4,AgentsGrenade,3,0x00115B98; 0x00115C88; 0x0011613C,0x0924F898; 0x0924F988; 0x0924FE3C,
LEVEL_02,2,Ryllus,0x002E4A7C,0x0941E77C,AgentsLaser,3,0x001166B8; 0x001169C0; 0x00116A74,0x092503B8; 0x092506C0; 0x09250774,
LEVEL_02,2,Ryllus,0x002E4B70,0x0941E870,AgentsRocket,3,0x00117480; 0x00117544; 0x001175C4,0x09251180; 0x09251244; 0x092512C4,
LEVEL_02,2,Ryllus,0x002E4C64,0x0941E964,AreaCam,3,0x00117EAC; 0x00117F58; 0x00117F60,0x09251BAC; 0x09251C58; 0x09251C60,TriggerLink camArea; f32 elevation; f32 distance; f32 height; f32 lookHeight; u32 pad[3];
LEVEL_02,2,Ryllus,0x002E4CD8,0x0941E9D8,ArmorHelmet,3,0x001180E0; 0x001180E8; 0x001180F0,0x09251DE0; 0x09251DE8; 0x09251DF0,
LEVEL_02,2,Ryllus,0x002E4D38,0x0941EA38,ArmorLeftFoot,3,0x001180F8; 0x00118100; 0x00118108,0x09251DF8; 0x09251E00; 0x09251E08,
LEVEL_02,2,Ryllus,0x002E4DA8,0x0941EAA8,ArmorLeftHand,3,0x00118110; 0x00118118; 0x00118120,0x09251E10; 0x09251E18; 0x09251E20,u32 pad[ 4 ];
LEVEL_02,2,Ryllus,0x002E4ED8,0x0941EBD8,ArmorPickup,3,0x00118494; 0x00118144; 0x00118998,0x09252194; 0x09251E44; 0x09252698,f32 dist; f32 height; f32 lookHeight; f32 elevation; f32 azimuth; MobyLink driver; MobyLink playerMatrix; u32 playthroughReq; Toggle magnaboots; u8 pad[ 15 ];
