module_key,module_index,level,owner_rva,callsite_rva,callsite_runtime,target_kind,target_rva,target_runtime,target_owner_rva,target_label,family_id
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A700,0x09184400,internal_text,0x00049364,0x09183064,0x00049364,0x00049364,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A708,0x09184408,internal_text,0x000499B4,0x091836B4,0x000499B4,0x000499B4,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A710,0x09184410,internal_text,0x000498C4,0x091835C4,0x000498C4,0x000498C4,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A754,0x09184454,internal_text,0x00033010,0x0916CD10,0x00033010,0x00033010,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A804,0x09184504,internal_text,0x00049364,0x09183064,0x00049364,0x00049364,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A80C,0x0918450C,internal_text,0x000499B4,0x091836B4,0x000499B4,0x000499B4,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A818,0x09184518,internal_text,0x0004A158,0x09183E58,0x0004A158,0x0004A158,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A828,0x09184528,internal_text,0x00049490,0x09183190,0x00049490,0x00049490,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A830,0x09184530,internal_text,0x000498C4,0x091835C4,0x000498C4,0x000498C4,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A8E8,0x091845E8,internal_text,0x00036298,0x0916FF98,0x00036298,0x00036298,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A914,0x09184614,internal_text,0x0004215C,0x0917BE5C,0x0004215C,0x0004215C,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A934,0x09184634,internal_text,0x0006A9E0,0x091A46E0,0x0006A9E0,0x0006A9E0,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A980,0x09184680,internal_text,0x0006AED0,0x091A4BD0,0x0006AED0,0x0006AED0,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A998,0x09184698,internal_text,0x00076330,0x091B0030,0x00076330,0x00076330,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A9B0,0x091846B0,internal_text,0x0006AAB8,0x091A47B8,0x0006AAB8,MOBY_SnapMobyAnim,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004AA3C,0x0918473C,internal_text,0x0004A158,0x09183E58,0x0004A158,0x0004A158,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004AA94,0x09184794,internal_text,0x0000E35C,0x0914805C,0x0000E35C,0x0000E35C,WF-001
