module,level,candidate_kind,function_rva,arithmetic_rva,arithmetic_file_offset,vanilla_word,operation,memory_load_rva,memory_base,memory_origin_heuristic,field_offset,store_rva,store_vanilla_word,fixed_delta_per_call,direct_objects,objects_within_3_calls,known_wrapper_family,source_strings,evidence_confidence,branches_or_calls_in_linear_slice,status,runtime_address_rule,context,static_proposal,constant_value,constant_bits,constant_rva,constant_definition_rvas,constant_definition_words
9,Inside Clank,float_read_modify_write,0x00002EB0,0x00002EE0,0x00002F54,0x460C8400,add.s,0x00002ECC,s0,s0,+0x190,0x00002EF0,0xE6100190,,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00002EC4 0x8E050170 lw $a1, 0x170($s0) | 0x00002EC8 0x8E060174 lw $a2, 0x174($s0) | 0x00002ECC 0xC6100190 lwc1 $f16, 0x190($s0) | 0x00002ED0 0xAE040198 sw $a0, 0x198($s0) | 0x00002ED4 0xC60C0194 lwc1 $f12, 0x194($s0) | 0x00002ED8 0xAE05019C sw $a1, 0x19c($s0) | 0x00002EDC 0xAE0601A0 sw $a2, 0x1a0($s0) | 0x00002EE0 0x460C8400 add.s $f16, $f16, $f12 | 0x00002EE4 0xAFA40010 sw $a0, 0x10($sp) | 0x00002EE8 0xAFA50014 sw $a1, 0x14($sp) | 0x00002EEC 0xAFA60018 sw $a2, 0x18($sp) | 0x00002EF0 0xE6100190 swc1 $f16, 0x190($s0) | 0x00002EF4 0x3C043F80 lui $a0, 0x3f80 | 0x00002EF8 0xC7AE0010 lwc1 $f14, 0x10($sp) | 0x00002EFC 0x44847800 mtc1 $a0, $f15 | 0x00002F00 0xC7AD0014 lwc1 $f13, 0x14($sp)",,,,,,
9,Inside Clank,float_read_modify_write,0x000032E0,0x000033DC,0x00003450,0x46101400,add.s,0x0000339C,s1,a0(entry),+0x0,0x000033E8,0xE6300000,,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00003394 0xC6400004 lwc1 $f0, 4($s2) | 0x00003398 0x460F03C0 add.s $f15, $f0, $f15 | 0x0000339C 0xC6220000 lwc1 $f2, ($s1) | 0x000033A0 0xE62F0004 swc1 $f15, 4($s1) | 0x000033A4 0xC48F0068 lwc1 $f15, 0x68($a0) | 0x000033A8 0x46017BC2 mul.s $f15, $f15, $f1 | 0x000033AC 0xC6510008 lwc1 $f17, 8($s2) | 0x000033B0 0x460F8BC0 add.s $f15, $f17, $f15 | 0x000033B4 0xC6320004 lwc1 $f18, 4($s1) | 0x000033B8 0x46107402 mul.s $f16, $f14, $f16 | 0x000033BC 0x460C7302 mul.s $f12, $f14, $f12 | 0x000033C0 0xE62F0008 swc1 $f15, 8($s1) | 0x000033C4 0x460D7342 mul.s $f13, $f14, $f13 | 0x000033C8 0xC48F0284 lwc1 $f15, 0x284($a0) | 0x000033CC 0x460F8402 mul.s $f16, $f16, $f15 | 0x000033D0 0x460F6302 mul.s $f12, $f12, $f15 | 0x000033D4 0x460F6B42 mul.s $f13, $f13, $f15 | 0x000033D8 0xC62E0008 lwc1 $f14, 8($s1) | 0x000033DC 0x46101400 add.s $f16, $f2, $f16 | 0x000033E0 0x460C9300 add.s $f12, $f18, $f12 | 0x000033E4 0x460D7340 add.s $f13, $f14, $f13 | 0x000033E8 0xE6300000 swc1 $f16, ($s1) | 0x000033EC 0xE62C0004 swc1 $f12, 4($s1) | 0x000033F0 0xE62D0008 swc1 $f13, 8($s1) | 0x000033F4 0x8FB0001C lw $s0, 0x1c($sp) | 0x000033F8 0x8FB10020 lw $s1, 0x20($sp) | 0x000033FC 0x8FB20024 lw $s2, 0x24($sp)",,,,,,
9,Inside Clank,float_read_modify_write,0x000032E0,0x000033E0,0x00003454,0x460C9300,add.s,0x000033B4,s1,a0(entry),+0x4,0x000033EC,0xE62C0004,,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x000033AC 0xC6510008 lwc1 $f17, 8($s2) | 0x000033B0 0x460F8BC0 add.s $f15, $f17, $f15 | 0x000033B4 0xC6320004 lwc1 $f18, 4($s1) | 0x000033B8 0x46107402 mul.s $f16, $f14, $f16 | 0x000033BC 0x460C7302 mul.s $f12, $f14, $f12 | 0x000033C0 0xE62F0008 swc1 $f15, 8($s1) | 0x000033C4 0x460D7342 mul.s $f13, $f14, $f13 | 0x000033C8 0xC48F0284 lwc1 $f15, 0x284($a0) | 0x000033CC 0x460F8402 mul.s $f16, $f16, $f15 | 0x000033D0 0x460F6302 mul.s $f12, $f12, $f15 | 0x000033D4 0x460F6B42 mul.s $f13, $f13, $f15 | 0x000033D8 0xC62E0008 lwc1 $f14, 8($s1) | 0x000033DC 0x46101400 add.s $f16, $f2, $f16 | 0x000033E0 0x460C9300 add.s $f12, $f18, $f12 | 0x000033E4 0x460D7340 add.s $f13, $f14, $f13 | 0x000033E8 0xE6300000 swc1 $f16, ($s1) | 0x000033EC 0xE62C0004 swc1 $f12, 4($s1) | 0x000033F0 0xE62D0008 swc1 $f13, 8($s1) | 0x000033F4 0x8FB0001C lw $s0, 0x1c($sp) | 0x000033F8 0x8FB10020 lw $s1, 0x20($sp) | 0x000033FC 0x8FB20024 lw $s2, 0x24($sp) | 0x00003400 0x8FBF0028 lw $ra, 0x28($sp)",,,,,,
9,Inside Clank,float_read_modify_write,0x000032E0,0x000033E4,0x00003458,0x460D7340,add.s,0x000033D8,s1,a0(entry),+0x8,0x000033F0,0xE62D0008,,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x000033D0 0x460F6302 mul.s $f12, $f12, $f15 | 0x000033D4 0x460F6B42 mul.s $f13, $f13, $f15 | 0x000033D8 0xC62E0008 lwc1 $f14, 8($s1) | 0x000033DC 0x46101400 add.s $f16, $f2, $f16 | 0x000033E0 0x460C9300 add.s $f12, $f18, $f12 | 0x000033E4 0x460D7340 add.s $f13, $f14, $f13 | 0x000033E8 0xE6300000 swc1 $f16, ($s1) | 0x000033EC 0xE62C0004 swc1 $f12, 4($s1) | 0x000033F0 0xE62D0008 swc1 $f13, 8($s1) | 0x000033F4 0x8FB0001C lw $s0, 0x1c($sp) | 0x000033F8 0x8FB10020 lw $s1, 0x20($sp) | 0x000033FC 0x8FB20024 lw $s2, 0x24($sp) | 0x00003400 0x8FBF0028 lw $ra, 0x28($sp) | 0x00003404 0x03E00008 jr $ra",,,,,,
9,Inside Clank,float_read_modify_write,0x000037AC,0x000038A0,0x00003914,0x460E6B00,add.s,0x00003814,s0,s0,+0xb4,0x000038A8,0xE60C00B4,,,,,,linear_slice_only,4,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0000380C 0x0C00071D jal 0x1c74 | 0x00003810 0x46128BC2 mul.s $f15, $f17, $f18 | 0x00003814 0xC60D00B4 lwc1 $f13, 0xb4($s0) | 0x00003818 0x46000386 mov.s $f14, $f0 | 0x0000381C 0x3C040029 lui $a0, 0x29 | 0x00003820 0x460E6B00 add.s $f12, $f13, $f14 | 0x00003824 0xE6000270 swc1 $f0, 0x270($s0) | 0x00003828 0xC48F4994 lwc1 $f15, 0x4994($a0) | 0x0000382C 0x46007BC7 neg.s $f15, $f15 | 0x00003830 0x460F603C c.lt.s $f12, $f15 | 0x00003834 0x00000000 nop  | 0x00003838 0x4500000C bc1f 0x386c | 0x0000383C 0x00000000 nop  | 0x00003840 0x46007305 abs.s $f12, $f14 | 0x00003844 0x3C043F00 lui $a0, 0x3f00 | 0x00003848 0x460C7380 add.s $f14, $f14, $f12 | 0x0000384C 0x44847800 mtc1 $a0, $f15 | 0x00003850 0x460F7382 mul.s $f14, $f14, $f15 | 0x00003854 0xE60E0270 swc1 $f14, 0x270($s0) | 0x00003858 0x10000012 b 0x38a4 | 0x0000385C 0x460E6B00 add.s $f12, $f13, $f14 | 0x00003860 0x44806000 mtc1 $zero, $f12 | 0x00003864 0x10000013 b 0x38b4 | 0x00003868 0xE60C0270 swc1 $f12, 0x270($s0) | 0x0000386C 0x3C040029 lui $a0, 0x29 | 0x00003870 0xC48F4990 lwc1 $f15, 0x4990($a0) | 0x00003874 0x46007BC7 neg.s $f15, $f15 | 0x00003878 0x460F603E c.le.s $f12, $f15 | 0x0000387C 0x00000000 nop  | 0x00003880 0x45010008 bc1t 0x38a4 | 0x00003884 0x00000000 nop  | 0x00003888 0x46007305 abs.s $f12, $f14 | 0x0000388C 0x3C043F00 lui $a0, 0x3f00 | 0x00003890 0x460C7381 sub.s $f14, $f14, $f12 | 0x00003894 0x44847800 mtc1 $a0, $f15 | 0x00003898 0x460F7382 mul.s $f14, $f14, $f15 | 0x0000389C 0xE60E0270 swc1 $f14, 0x270($s0) | 0x000038A0 0x460E6B00 add.s $f12, $f13, $f14 | 0x000038A4 0xC60D0350 lwc1 $f13, 0x350($s0) | 0x000038A8 0xE60C00B4 swc1 $f12, 0xb4($s0) | 0x000038AC 0x460E6B00 add.s $f12, $f13, $f14 | 0x000038B0 0xE60C0350 swc1 $f12, 0x350($s0) | 0x000038B4 0x8FB00020 lw $s0, 0x20($sp) | 0x000038B8 0x8FBF0024 lw $ra, 0x24($sp) | 0x000038BC 0x03E00008 jr $ra | 0x000038C0 0x27BD0030 addiu $sp, $sp, 0x30",,,,,,
9,Inside Clank,float_read_modify_write,0x000037AC,0x000038AC,0x00003920,0x460E6B00,add.s,0x000038A4,s0,s0,+0x350,0x000038B0,0xE60C0350,,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0000389C 0xE60E0270 swc1 $f14, 0x270($s0) | 0x000038A0 0x460E6B00 add.s $f12, $f13, $f14 | 0x000038A4 0xC60D0350 lwc1 $f13, 0x350($s0) | 0x000038A8 0xE60C00B4 swc1 $f12, 0xb4($s0) | 0x000038AC 0x460E6B00 add.s $f12, $f13, $f14 | 0x000038B0 0xE60C0350 swc1 $f12, 0x350($s0) | 0x000038B4 0x8FB00020 lw $s0, 0x20($sp) | 0x000038B8 0x8FBF0024 lw $ra, 0x24($sp) | 0x000038BC 0x03E00008 jr $ra | 0x000038C0 0x27BD0030 addiu $sp, $sp, 0x30",,,,,,
9,Inside Clank,float_read_modify_write,0x00003CBC,0x00003CF8,0x00003D6C,0x460C6B40,add.s,0x00003CF0,a3,a3,+0x14,0x00003D04,0xE4ED0014,,,,,,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00003CE8 0x00E83821 addu $a3, $a3, $t0 | 0x00003CEC 0x00E43821 addu $a3, $a3, $a0 | 0x00003CF0 0xC4ED0014 lwc1 $f13, 0x14($a3) | 0x00003CF4 0x24C60001 addiu $a2, $a2, 1 | 0x00003CF8 0x460C6B40 add.s $f13, $f13, $f12 | 0x00003CFC 0x00C5402A slt $t0, $a2, $a1 | 0x00003D00 0x1500FFF6 bnez $t0, 0x3cdc | 0x00003D04 0xE4ED0014 swc1 $f13, 0x14($a3) | 0x00003D08 0x03E00008 jr $ra | 0x00003D0C 0x00000000 nop ",,,,,,
9,Inside Clank,float_multiplicative_read_modify_write,0x0000575C,0x00005800,0x00005874,0x460C6B42,mul.s,0x000057F8,a2,a2(entry),+0x0,0x00005808,0xE4CD0000,,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x000057F0 0x461A6300 add.s $f12, $f12, $f26 | 0x000057F4 0x460CD303 div.s $f12, $f26, $f12 | 0x000057F8 0xC4CD0000 lwc1 $f13, ($a2) | 0x000057FC 0xC4CE0004 lwc1 $f14, 4($a2) | 0x00005800 0x460C6B42 mul.s $f13, $f13, $f12 | 0x00005804 0x460C7302 mul.s $f12, $f14, $f12 | 0x00005808 0xE4CD0000 swc1 $f13, ($a2) | 0x0000580C 0xE4CC0004 swc1 $f12, 4($a2) | 0x00005810 0x24C6000C addiu $a2, $a2, 0xc | 0x00005814 0x54C5FFF6 bnel $a2, $a1, 0x57f0 | 0x00005818 0xC4CC0008 lwc1 $f12, 8($a2) | 0x0000581C 0x00803025 move $a2, $a0 | 0x00005820 0x4600C306 mov.s $f12, $f24",,,,,,
9,Inside Clank,float_multiplicative_read_modify_write,0x0000575C,0x00005804,0x00005878,0x460C7302,mul.s,0x000057FC,a2,a2(entry),+0x4,0x0000580C,0xE4CC0004,,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x000057F4 0x460CD303 div.s $f12, $f26, $f12 | 0x000057F8 0xC4CD0000 lwc1 $f13, ($a2) | 0x000057FC 0xC4CE0004 lwc1 $f14, 4($a2) | 0x00005800 0x460C6B42 mul.s $f13, $f13, $f12 | 0x00005804 0x460C7302 mul.s $f12, $f14, $f12 | 0x00005808 0xE4CD0000 swc1 $f13, ($a2) | 0x0000580C 0xE4CC0004 swc1 $f12, 4($a2) | 0x00005810 0x24C6000C addiu $a2, $a2, 0xc | 0x00005814 0x54C5FFF6 bnel $a2, $a1, 0x57f0 | 0x00005818 0xC4CC0008 lwc1 $f12, 8($a2) | 0x0000581C 0x00803025 move $a2, $a0 | 0x00005820 0x4600C306 mov.s $f12, $f24 | 0x00005824 0x27A40020 addiu $a0, $sp, 0x20",,,,,,
9,Inside Clank,float_multiplicative_read_modify_write,0x00006118,0x000061D4,0x00006248,0x460D7342,mul.s,0x00006154,a0,a0(entry),+0x0,0x000061DC,0xE48D0000,,,,,,linear_slice_only,2,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0000614C 0x46106302 mul.s $f12, $f12, $f16 | 0x00006150 0x46128BC2 mul.s $f15, $f17, $f18 | 0x00006154 0xC48D0000 lwc1 $f13, ($a0) | 0x00006158 0x460F6301 sub.s $f12, $f12, $f15 | 0x0000615C 0x460D6B82 mul.s $f14, $f13, $f13 | 0x00006160 0xE48C0004 swc1 $f12, 4($a0) | 0x00006164 0xC4CC0000 lwc1 $f12, ($a2) | 0x00006168 0xC4F00004 lwc1 $f16, 4($a3) | 0x0000616C 0xC4D10004 lwc1 $f17, 4($a2) | 0x00006170 0xC4F20000 lwc1 $f18, ($a3) | 0x00006174 0x46106302 mul.s $f12, $f12, $f16 | 0x00006178 0xC4930004 lwc1 $f19, 4($a0) | 0x0000617C 0x46128BC2 mul.s $f15, $f17, $f18 | 0x00006180 0x46139CC2 mul.s $f19, $f19, $f19 | 0x00006184 0x3C093480 lui $t1, 0x3480 | 0x00006188 0x460F6301 sub.s $f12, $f12, $f15 | 0x0000618C 0x46137380 add.s $f14, $f14, $f19 | 0x00006190 0xE48C0008 swc1 $f12, 8($a0) | 0x00006194 0xC4900008 lwc1 $f16, 8($a0) | 0x00006198 0x44896000 mtc1 $t1, $f12 | 0x0000619C 0x46108402 mul.s $f16, $f16, $f16 | 0x000061A0 0x46107380 add.s $f14, $f14, $f16 | 0x000061A4 0x460C703C c.lt.s $f14, $f12 | 0x000061A8 0x00000000 nop  | 0x000061AC 0x45000003 bc1f 0x61bc | 0x000061B0 0x3C073F80 lui $a3, 0x3f80 | 0x000061B4 0x1000000D b 0x61ec | 0x000061B8 0x34070000 ori $a3, $zero, 0 | 0x000061BC 0x46007384 sqrt.s $f14, $f14 | 0x000061C0 0x44877800 mtc1 $a3, $f15 | 0x000061C4 0x460E7B83 div.s $f14, $f15, $f14 | 0x000061C8 0xC4900004 lwc1 $f16, 4($a0) | 0x000061CC 0xC4910008 lwc1 $f17, 8($a0) | 0x000061D0 0x34070001 ori $a3, $zero, 1 | 0x000061D4 0x460D7342 mul.s $f13, $f14, $f13 | 0x000061D8 0x46107402 mul.s $f16, $f14, $f16 | 0x000061DC 0xE48D0000 swc1 $f13, ($a0) | 0x000061E0 0x46117382 mul.s $f14, $f14, $f17 | 0x000061E4 0xE4900004 swc1 $f16, 4($a0) | 0x000061E8 0xE48E0008 swc1 $f14, 8($a0) | 0x000061EC 0x14E00043 bnez $a3, 0x62fc | 0x000061F0 0x24A7000C addiu $a3, $a1, 0xc | 0x000061F4 0xC4ED0000 lwc1 $f13, ($a3)",,,,,,
