module,level,candidate_kind,function_rva,arithmetic_rva,arithmetic_file_offset,vanilla_word,operation,memory_load_rva,memory_base,memory_origin_heuristic,field_offset,store_rva,store_vanilla_word,fixed_delta_per_call,direct_objects,objects_within_3_calls,known_wrapper_family,source_strings,evidence_confidence,branches_or_calls_in_linear_slice,status,runtime_address_rule,context,constant_value,constant_bits,constant_rva,constant_definition_rvas,constant_definition_words,static_proposal
22,Airboard — niveau 3,float_constant_arithmetic_store,0x0003CFB0,0x0003D008,0x0003D07C,0x46146301,sub.s,,,,,0x0003D00C,0xE7AC0034,-2,,,,ZipLineController,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0003D000 0xE7AC0030 swc1 $f12, 0x30($sp) | 0x0003D004 0xC48C0004 lwc1 $f12, 4($a0) | 0x0003D008 0x46146301 sub.s $f12, $f12, $f20 | 0x0003D00C 0xE7AC0034 swc1 $f12, 0x34($sp) | 0x0003D010 0xC48C0008 lwc1 $f12, 8($a0) | 0x0003D014 0x46146301 sub.s $f12, $f12, $f20 | 0x0003D018 0x34130000 ori $s3, $zero, 0 | 0x0003D01C 0xE7AC0038 swc1 $f12, 0x38($sp) | 0x0003D020 0xC48C0000 lwc1 $f12, ($a0) | 0x0003D024 0x8CB20130 lw $s2, 0x130($a1) | 0x0003D028 0x46146300 add.s $f12, $f12, $f20",2,0x40000000,,0x0003CFD0;0x0003CFD4,0x3C044000;0x4484A000,
22,Airboard — niveau 3,float_constant_arithmetic_store,0x0003CFB0,0x0003D014,0x0003D088,0x46146301,sub.s,,,,,0x0003D01C,0xE7AC0038,-2,,,,ZipLineController,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0003D00C 0xE7AC0034 swc1 $f12, 0x34($sp) | 0x0003D010 0xC48C0008 lwc1 $f12, 8($a0) | 0x0003D014 0x46146301 sub.s $f12, $f12, $f20 | 0x0003D018 0x34130000 ori $s3, $zero, 0 | 0x0003D01C 0xE7AC0038 swc1 $f12, 0x38($sp) | 0x0003D020 0xC48C0000 lwc1 $f12, ($a0) | 0x0003D024 0x8CB20130 lw $s2, 0x130($a1) | 0x0003D028 0x46146300 add.s $f12, $f12, $f20 | 0x0003D02C 0x00408825 move $s1, $v0 | 0x0003D030 0x2E650002 sltiu $a1, $s3, 2 | 0x0003D034 0xE7AC003C swc1 $f12, 0x3c($sp)",2,0x40000000,,0x0003CFD0;0x0003CFD4,0x3C044000;0x4484A000,
22,Airboard — niveau 3,float_constant_arithmetic_store,0x0003CFB0,0x0003D028,0x0003D09C,0x46146300,add.s,,,,,0x0003D034,0xE7AC003C,2,,,,ZipLineController,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0003D020 0xC48C0000 lwc1 $f12, ($a0) | 0x0003D024 0x8CB20130 lw $s2, 0x130($a1) | 0x0003D028 0x46146300 add.s $f12, $f12, $f20 | 0x0003D02C 0x00408825 move $s1, $v0 | 0x0003D030 0x2E650002 sltiu $a1, $s3, 2 | 0x0003D034 0xE7AC003C swc1 $f12, 0x3c($sp) | 0x0003D038 0xC48C0004 lwc1 $f12, 4($a0) | 0x0003D03C 0x46146300 add.s $f12, $f12, $f20 | 0x0003D040 0xE7AC0040 swc1 $f12, 0x40($sp) | 0x0003D044 0xC48C0008 lwc1 $f12, 8($a0) | 0x0003D048 0x46146300 add.s $f12, $f12, $f20",2,0x40000000,,0x0003CFD0;0x0003CFD4,0x3C044000;0x4484A000,
22,Airboard — niveau 3,float_constant_arithmetic_store,0x0003CFB0,0x0003D03C,0x0003D0B0,0x46146300,add.s,,,,,0x0003D040,0xE7AC0040,2,,,,ZipLineController,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0003D034 0xE7AC003C swc1 $f12, 0x3c($sp) | 0x0003D038 0xC48C0004 lwc1 $f12, 4($a0) | 0x0003D03C 0x46146300 add.s $f12, $f12, $f20 | 0x0003D040 0xE7AC0040 swc1 $f12, 0x40($sp) | 0x0003D044 0xC48C0008 lwc1 $f12, 8($a0) | 0x0003D048 0x46146300 add.s $f12, $f12, $f20 | 0x0003D04C 0x10A00014 beqz $a1, 0x3d0a0 | 0x0003D050 0xE7AC0044 swc1 $f12, 0x44($sp) | 0x0003D054 0x00132100 sll $a0, $s3, 4 | 0x0003D058 0x00932823 subu $a1, $a0, $s3 | 0x0003D05C 0x000528C0 sll $a1, $a1, 3",2,0x40000000,,0x0003CFD0;0x0003CFD4,0x3C044000;0x4484A000,
22,Airboard — niveau 3,float_constant_arithmetic_store,0x0003CFB0,0x0003D048,0x0003D0BC,0x46146300,add.s,,,,,0x0003D050,0xE7AC0044,2,,,,ZipLineController,linear_slice_only,2,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0003D040 0xE7AC0040 swc1 $f12, 0x40($sp) | 0x0003D044 0xC48C0008 lwc1 $f12, 8($a0) | 0x0003D048 0x46146300 add.s $f12, $f12, $f20 | 0x0003D04C 0x10A00014 beqz $a1, 0x3d0a0 | 0x0003D050 0xE7AC0044 swc1 $f12, 0x44($sp) | 0x0003D054 0x00132100 sll $a0, $s3, 4 | 0x0003D058 0x00932823 subu $a1, $a0, $s3 | 0x0003D05C 0x000528C0 sll $a1, $a1, 3 | 0x0003D060 0x00A42823 subu $a1, $a1, $a0 | 0x0003D064 0x3C040006 lui $a0, 6 | 0x0003D068 0x2484D3E8 addiu $a0, $a0, -0x2c18",2,0x40000000,,0x0003CFD0;0x0003CFD4,0x3C044000;0x4484A000,
22,Airboard — niveau 3,float_fixed_step_read_modify_write,0x0003D490,0x0003D53C,0x0003D5B0,0x460D6380,add.s,0x0003D530,a0,a0,+0x28,0x0003D54C,0xE48E0028,1,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0003D528 0x00000000 nop  | 0x0003D52C 0x2484ED78 addiu $a0, $a0, -0x1288 | 0x0003D530 0xC48C0028 lwc1 $f12, 0x28($a0) | 0x0003D534 0x3C053F80 lui $a1, 0x3f80 | 0x0003D538 0x44856800 mtc1 $a1, $f13 | 0x0003D53C 0x460D6380 add.s $f14, $f12, $f13 | 0x0003D540 0x3C050022 lui $a1, 0x22 | 0x0003D544 0xC4AC1E08 lwc1 $f12, 0x1e08($a1) | 0x0003D548 0x460C7303 div.s $f12, $f14, $f12 | 0x0003D54C 0xE48E0028 swc1 $f14, 0x28($a0) | 0x0003D550 0x460C683C c.lt.s $f13, $f12 | 0x0003D554 0x00000000 nop  | 0x0003D558 0x45030001 bc1tl 0x3d560 | 0x0003D55C 0x46006B06 mov.s $f12, $f13",1,0x3F800000,,0x0003D534;0x0003D538,0x3C053F80;0x44856800,CANDIDATE ONLY: 0x0003D534 0x3C053F80 -> 0x3C053F00; audit all uses and tick ownership
22,Airboard — niveau 3,float_constant_arithmetic_store,0x0003D490,0x0003D784,0x0003D7F8,0x46116B40,add.s,,,,,0x0003D790,0xE60D0030,6.31089206e-29,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0003D77C 0x460D7340 add.s $f13, $f14, $f13 | 0x0003D780 0x460D8342 mul.s $f13, $f16, $f13 | 0x0003D784 0x46116B40 add.s $f13, $f13, $f17 | 0x0003D788 0x3C0438D1 lui $a0, 0x38d1 | 0x0003D78C 0x3484B717 ori $a0, $a0, 0xb717 | 0x0003D790 0xE60D0030 swc1 $f13, 0x30($s0) | 0x0003D794 0x44846800 mtc1 $a0, $f13 | 0x0003D798 0x460D603E c.le.s $f12, $f13 | 0x0003D79C 0x00000000 nop  | 0x0003D7A0 0x45000005 bc1f 0x3d7b8 | 0x0003D7A4 0x3C043F7F lui $a0, 0x3f7f",6.31089206e-29,0x10A00008,0x0008ED78,0x0003D76C,0xC491ED78,
22,Airboard — niveau 3,float_fixed_step_read_modify_write,0x0003D490,0x0003D978,0x0003D9EC,0x460D6300,add.s,0x0003D968,a0,a0,+0x30,0x0003D98C,0xE48C0030,0.00400000019,,,,,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0003D960 0x3C040009 lui $a0, 9 | 0x0003D964 0x2484ED78 addiu $a0, $a0, -0x1288 | 0x0003D968 0xC48C0030 lwc1 $f12, 0x30($a0) | 0x0003D96C 0x3C050022 lui $a1, 0x22 | 0x0003D970 0xC4AD1E14 lwc1 $f13, 0x1e14($a1) | 0x0003D974 0x3C050022 lui $a1, 0x22 | 0x0003D978 0x460D6300 add.s $f12, $f12, $f13 | 0x0003D97C 0xC4AE1E18 lwc1 $f14, 0x1e18($a1) | 0x0003D980 0x460E603E c.le.s $f12, $f14 | 0x0003D984 0x00000000 nop  | 0x0003D988 0x45010006 bc1t 0x3d9a4 | 0x0003D98C 0xE48C0030 swc1 $f12, 0x30($a0) | 0x0003D990 0x3C040022 lui $a0, 0x22 | 0x0003D994 0xC48C1E18 lwc1 $f12, 0x1e18($a0) | 0x0003D998 0x3C040009 lui $a0, 9",0.00400000019,0x3B83126F,0x00221E14,0x0003D970,0xC4AD1E14,
22,Airboard — niveau 3,float_read_modify_write,0x0003D490,0x0003D9C8,0x0003DA3C,0x460D7340,add.s,0x0003D9B4,s0,s0(entry),+0x30,0x0003D9E4,0xE60D0030,,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0003D9AC 0xC48C0030 lwc1 $f12, 0x30($a0) | 0x0003D9B0 0xC62D0000 lwc1 $f13, ($s1) | 0x0003D9B4 0xC60E0030 lwc1 $f14, 0x30($s0) | 0x0003D9B8 0x460D6342 mul.s $f13, $f12, $f13 | 0x0003D9BC 0xC60F0034 lwc1 $f15, 0x34($s0) | 0x0003D9C0 0xE7AD0028 swc1 $f13, 0x28($sp) | 0x0003D9C4 0xC6300004 lwc1 $f16, 4($s1) | 0x0003D9C8 0x460D7340 add.s $f13, $f14, $f13 | 0x0003D9CC 0xC6110038 lwc1 $f17, 0x38($s0) | 0x0003D9D0 0x46106402 mul.s $f16, $f12, $f16 | 0x0003D9D4 0x3C050022 lui $a1, 0x22 | 0x0003D9D8 0xE7B0002C swc1 $f16, 0x2c($sp) | 0x0003D9DC 0x46107BC0 add.s $f15, $f15, $f16 | 0x0003D9E0 0xC6320008 lwc1 $f18, 8($s1) | 0x0003D9E4 0xE60D0030 swc1 $f13, 0x30($s0) | 0x0003D9E8 0x46126302 mul.s $f12, $f12, $f18",,,,,,
22,Airboard — niveau 3,float_read_modify_write,0x0003D490,0x0003D9DC,0x0003DA50,0x46107BC0,add.s,0x0003D9BC,s0,s0(entry),+0x34,0x0003D9EC,0xE60F0034,,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0003D9B4 0xC60E0030 lwc1 $f14, 0x30($s0) | 0x0003D9B8 0x460D6342 mul.s $f13, $f12, $f13 | 0x0003D9BC 0xC60F0034 lwc1 $f15, 0x34($s0) | 0x0003D9C0 0xE7AD0028 swc1 $f13, 0x28($sp) | 0x0003D9C4 0xC6300004 lwc1 $f16, 4($s1) | 0x0003D9C8 0x460D7340 add.s $f13, $f14, $f13 | 0x0003D9CC 0xC6110038 lwc1 $f17, 0x38($s0) | 0x0003D9D0 0x46106402 mul.s $f16, $f12, $f16 | 0x0003D9D4 0x3C050022 lui $a1, 0x22 | 0x0003D9D8 0xE7B0002C swc1 $f16, 0x2c($sp) | 0x0003D9DC 0x46107BC0 add.s $f15, $f15, $f16 | 0x0003D9E0 0xC6320008 lwc1 $f18, 8($s1) | 0x0003D9E4 0xE60D0030 swc1 $f13, 0x30($s0) | 0x0003D9E8 0x46126302 mul.s $f12, $f12, $f18 | 0x0003D9EC 0xE60F0034 swc1 $f15, 0x34($s0) | 0x0003D9F0 0x460C8B40 add.s $f13, $f17, $f12 | 0x0003D9F4 0xE7AC0030 swc1 $f12, 0x30($sp) | 0x0003D9F8 0xE60D0038 swc1 $f13, 0x38($s0) | 0x0003D9FC 0xC48C002C lwc1 $f12, 0x2c($a0)",,,,,,
